丂乗乗搒撪朸強丅=　――都内某处。
埁乽傗乧乧偁偁偁偭乧乧偆偁傫偭偆偁傫偭両丂偆偁偁偁傫偭両両乿=葵「呀……啊啊啊……呜啊呜啊！呜啊啊啊！！」
丂懢偄巜偑丄傢偨偟偺墱偺墱傑偱擖偭偰偔傞丅=　粗壮的手指，深深插入最深处。
丂傕偆壗傕峫偊傜傟側偄乧乧両=　已经无法思考任何事情了……！
埁乽偁偭偁偭偁偭偁偁傫偭偁偁傫偭両丂偁偁偁偁傫両両乿=葵「啊啊啊啊啊啊！啊啊啊啊！！」
惓揷乽僋僢僋僢僋僢丄婥帩偪僀僀偐丠丂僀僀偺偐恄嶈偂偂偂丠乿=正田「呵呵呵，感觉舒服吗？舒服吗神崎？」
埁乽傫傫偭両丂偆傫偭両丂偆傫傫傫傫偭両両乿=葵「嗯嗯！嗯！嗯嗯嗯嗯！！」
丂傢偨偟偼挘傝巕偺屨偺傛偆偵丄僇僋僇僋偲偆側偢偔偙偲偟偐偱偒側偄丅=　只能像纸糊的老虎一样，机械地点头。
惓揷乽偄偄巕偩偁丅偠傖偁丄僗働儀側尵梩傪尵偭偰傒側乿=正田「真乖啊。那么，说点淫荡的话来听听」
埁乽偼偆偭偼偁偆偭偼偁偆偭両丂偆偁偁偁偁偆偭両両乿=葵「啊啊啊啊啊！呜啊啊啊啊！！」
惓揷乽尵偊両丂婥帩偪僀僀偭偰嫨傫偱傒傠両乿=正田「说啊！大声喊出很舒服来！」
埁乽乧乧偒丄偒丄婥帩偪乧乧僀僀偭両丂巜偑乧乧婥偭乗乗巜偑帩偪僀僀偭乧乧婥帩偪僀僀傛偋偋偋両丂偁傫偭偁傫偭偁偁傫偭両乿=葵「……舒、舒、舒服……！手指……舒——手指好舒服……好舒服啊！啊啊啊啊！」
惓揷乽僋僢僋僢僋僢丅偍儅仜僐擬偄偐丠丂偊丄偳偆側傫偩恄嶈偂偂偂両丠乿=正田「呵呵呵。小穴热吗？嗯，怎么样神崎？！」
埁乽擬偄乧乧擬偄傛偍乧乧偍儅仜僐擬偄傛偍両丂偣傫偣偉偺巜偱丄傢偨偟偺偍儅仜僐擬偔側偭偰傞偺偋両丂僌僠儑僌僠儑偵側偭偰傞偺偋偋偋偋偋両両乿=葵「好热……好热啊……小穴好热啊！老师的手指，让我的小穴变得好热！变得湿哒哒的啊啊啊啊啊！！」
丂傢偨偟偼丄壗偰偙偲傪尵偭偰傞偺乧乧丠=　我在说些什么啊……？
丂偱傕丄傔偔傞傔偔夣姶偑丄傢偨偟偵抪偠傜偄傪曻婞偝偣傞丅=　但是，令人目眩的快感，让我放弃了羞耻心。
丂偦傕偦傕丄壗偑抪偢偐偟偄偺偐偡傜丄傛偔峫偊傜傟側偄丅=　本来，到底有什么好羞耻的，都已经无法好好思考了。
埁乽偁傫偁傫偁傫偭偁偁偁傫偭偁偁偁傫偭両丂偁偭両丂偁偭両丂偁偭両丂偼偁偁偁偁偁傫傫傫傫両両丂偒傖偁偁偁偁偁偁偁偁偁偁偆偆偆偆偭偭偭両両乿=葵「啊啊啊啊啊啊啊啊啊！啊！啊！啊！哈啊啊啊啊啊啊！呀啊啊啊啊啊啊啊啊呜呜呜！！」
丂慡恎偑擬偔側偭偰乧乧丅=　全身都变得好热……
丂傑傞偱懱偑偲傠偗偰偟傑偭偨傛偆偵丄堦弖丄偡傋偰偑徚偊幐偣偨乧乧丅=　仿佛身体都要融化了一样，一瞬间，一切都消失了……
丂崅傒偵徃傝媗傔偰丄傢偨偟偼偑偔傫偲曵傟棊偪偨丅=　攀上了顶峰，然后重重地瘫软下来。
埁乽偼偁偼偁乧乧偼偁偼偁乧乧偼偁偼偁乧乧乿=葵「哈啊哈啊……哈啊哈啊……哈啊哈啊……」
惓揷乽僋僢僋僢僋僢丅僀偭偨偐恄嶈偂偂丅僗働儀側彈偩側偀偍慜偼偀乧乧丅壌傕偍慜偵僀偐偣偰傕傜傢側偄偲側偁偁偁両乿=正田「呵呵呵。高潮了吗，神崎？真是个淫荡的女人啊你……我也得让你让我高潮才行啊啊啊！」
丂尵偄側偑傜丄惓揷愭惗偑傢偨偟偺恎懱傪書偊忋偘傞丅=　正田老师一边说着，一边抱起我的身体。
丂惓揷愭惗偺偦偦傝棫偭偨儁僯僗偑丄傢偨偟偺屢偺娫偐傜擿偄偰偄偨丅=　正田老师勃起的阴茎从我的双腿之间露了出来。
丂傢偨偟偼丄愨捀傪寎偊偨捈屻偺婥懹偝偺偣偄偱丄偦偺岝宨傪懠恖帠偺傛偆偵尒偮傔偰偄偨丅=　由于刚刚高潮后的倦怠感，仿佛事不关己般地注视着那幅景象。
丂偁偁丄傢偨偟丄偙傟偐傜偝傟偪傖偆傫偩乧乧丅=　啊啊，我，马上就要被这样对待了……
丂乧乧弶傔偰側偺偵乧乧惓揷愭惗側傫偐偵乧乧丅=　……明明是第一次……却要被正田老师这种人……
丂側傫偩偐埆偄柌偺拞偵偄傞傒偨偄乧乧塱墦偵妎傔傞偙偲偺側偄丄柌丅=　感觉好像身处一场噩梦中……一场永远无法醒来的梦。
丂偦傫側偙偲傪傏傫傗傝偲峫偊偰偄傞偆偪偵丄惓揷愭惗偺儁僯僗偺愭抂偑丄傢偨偟偺拞偵擖偭偰偒偨丅=　正当我恍惚地思考着这些事情时，正田老师的阴茎顶端已经进入了我的身体。
丂傉偪傘偭乧丅=　噗嗤……
埁乽傫偁偭乧乧乿=葵「嗯啊……」
惓揷乽僋僢僋僢僋僢丄愭偭偪傚偩偗擖偭偰偨偧偋乣丄僺儞僋偺偍儅仜僐偑壌偺嬌懢僠仜億偱墴偟峀偘傜傟偰乧乧側傫偰僀儎傜偟偄岝宨側傫偩乣乣乣乿=正田「咕咕咕，只是龟头就进去了哦～，粉嫩的小穴被我的粗大肉棒撑开了……多么淫荡的景象啊～～～」
埁乽傗乧乧偁偁偁乧乧乿=葵「不……啊啊啊……」
惓揷乽偳傫側婥暘偩丠丂壌偺僠仜億傪庴偗擖傟傞婥暘偼偳傫側婥暘側傫偩偀丠丂摎偊傠恄嶈偂乣乿=正田「感觉如何？接纳我的肉棒是什么感觉啊？回答我，神崎～」
埁乽偄傗偀乧乧偄傗偀偀偀乧乧乿=葵「不要……不要啊啊啊……」
惓揷乽僋僢僋僢僋僢丄摎偊傜傟偹偉偐丅傑偀偄偄丅傕偆偙偙傑偱棃偪傑偭偨傜屻栠傝偼弌棃偹偉傫偩偐傜側偀乣乣乣乿=正田「咕咕咕，回答不出来吗。算了。反正都到这一步了，已经无法回头了～～～」
丂斊偝傟傞乧乧傢偨偟乧乧斊偝傟偪傖偆乧乧丅=　要被侵犯了……我……要被侵犯了……
丂偳偆偟偰丠丂偳偆偟偰丄偙傫側偙偲偵側偭偨偺丠=　为什么？为什么会变成这样？
丂傆偲丄廐恖偺婄偑晜偐傫偩丅嵟弶丄偦傟偑扤偩偐暘偐傜側偐偭偨丅=　突然，秋人的脸浮现在脑海中。起初，还不知道那是谁。
丂偁偁丄廐恖乧乧傢偨偟丄斊偝傟偪傖偆傛偍乧乧丅=　啊啊，秋人……我，要被侵犯了啊……
丂偢偭丄偸傇傇傇傇偭乧両=　咕噜，噗呜呜呜呜……！
惓揷乽偍偍偍偍偍偭乧乧両丂擖偭偰偄偔擖偭偰偄偔偧乧乧両丂恄嶈偺乧乧儈僗屼塭妛墍偺僺儞僋偺偍儅仜僐偵壌偺嬌懢僠儞仜偑偀両乿=正田「哦哦哦哦哦……！进去了进去了……！神崎的……御影学院小姐的粉嫩小穴里，我的超粗大肉棒啊！」
埁乽偆偆偭乧乧偆偁偁偁偁偭両乿=葵「呜呜……呜啊啊啊啊！」
丂壓暊晹偵寖捝偑憱傞丅=　下腹部传来剧烈的疼痛。
惓揷乽側傫偰乧乧側傫偰僗働儀側岝宨側傫偩偀両丂僈僢僴僢僴僢僴僢僴両乿=正田「什么……这是多么淫荡的景象啊！ 哈哈哈哈哈！」
丂偸傇偸傇傇傇傇傇傇偭丅=　噗嗤噗嗤噗嗤噗嗤。
丂傇偪傇偪傇偪傇偪傇偪偭両=　啪啪啪啪啪！
埁乽傂乧乧傂偄乧乧偄傗偁偁偁偁偁偭両両乿=葵「呃……啊……不要啊啊啊啊啊！！」
丂拞偵乧乧傢偨偟偺拞偵乧乧堎條側傕偺偑偭両=　里面……体内……有异物进入了！
丂怣偠傜傟側偄偔傜偄戝偒偔偰峝偄傕偺偑偭両=　难以置信的巨大而坚硬的东西！
丂擖偭偰偔傞偭両丂巰傫偠傖偆偭両丂巰傫偠傖偆偭両両=　进来了！要死了！要死了！！
惓揷乽偁偁偁偁偭両丂婥帩偪僀僀偧偋恄嶈偂乣両丂偍慜偺偍儅仜僐偺拞偼嫹偔偰丄掲傑偭偰偰丄偁偭偨偐偔偰僰儖僰儖偩偀偀偀偀偀偀両両乿=正田「啊啊啊啊！太舒服了啊神崎～！你的小穴里面又紧又窄，又温暖又湿滑啊啊啊啊啊啊！！」
丂偦傟偼夣姶偱傕壗偱傕側偐偭偨丅=　那根本不是什么快感。
丂偁傞偺偼偨偩丄寖楏側捝傒丅偦偟偰揻偒婥傪嵜偡丄懱撪偺堎暔姶丅=　有的只是剧烈的疼痛。以及令人作呕的体内异物感。
丂晐偄乧乧晐偄乧乧晐偄乧乧両=　好怕……好怕……好怕……！
丂帺暘偺偍暊偑丄挘傝楐偗偰偟傑偆乧乧両丂偦傫側偡偝傑偠偄寖捝偲嫲晐乧乧丅=　肚子要裂开了……！如此可怕的剧痛和恐惧……
埁乽偄傗偁偁偁偭両両丂偁偁偁偁偭両両丂傂偖偆偆偆偭偭偭両両丂捝偄偭両丂捝偄偂偂偂偂両両乿=葵「不要啊啊啊！！啊啊啊啊！！呜呜呜呜！！好痛！好痛啊啊啊啊！！」
惓揷乽偁偁偭丄偆傞偣偊偭両両乿=正田「啊啊，吵死了！！」
丂惓揷愭惗偑傢偨偟偺婄傪榟偯偐傒偵偡傞丅=　正田老师一把抓住脸。
埁乽偆偆偆偆偆偭両乿=葵「呜呜呜呜呜！」
丂偸傇偭両丂傇傇傇傇傇傇傇偭両両丂偖偪傘偭両両=　噗呲！噗噗噗噗噗噗噗！！咕啾！！
惓揷乽傎偆傜偁丄慡晹擖偭偨偧偍恄嶈偂両丂壌偺嬌懢僠仜億傪偍慜偺偍儅仜僐偑墱傑偱堸傒崬傒傗偑偭偨偀偀偀両乿=正田「看啊，全部进去了哦神崎！我的超粗大肉棒被你的小穴一直吞到最深处了啊啊啊！」
丂僊僠僢両丂僊僠僢僊僠僊僠僊僠僢両両=　吱嘎！吱嘎吱嘎吱嘎吱嘎！！
埁乽傂偓偭乧乧傂偓偂偁偁偁偁偁偁偁偁偁偭両両乿=葵「呃啊……呃啊啊啊啊啊啊啊啊！！」
惓揷乽傆偅乕丄傆偅乕丄傆偅乕丄側傫偰偍儅仜僐偩偀乕丄銼拞偑僌僱僌僱蹇偄偰乧乧僋僢丄偙偺壌偑擖傟偨偩偗偱僀僢偪傑偄偦偆偩偤偉乧乧乿=正田「呼——，呼——，呼——，真是个好小穴啊——，阴道内部蠕动着……呃，光是插进去我就快要射了……」
埁乽偁偭偁偆偭乧乧偆偖偆偆偆偆偆偆偆偆偭両両乿=葵「啊啊呜……呜呜呜呜呜呜呜呜！！」
惓揷乽摦偐偡偤偉乧偄傛偄傛儈僗妛墍偺偍儅仜僐撍偒傑偔偭偰傗傞偤偉乧僌僠儍僌僠儍偵偟偰傗傞両丂壌偺僓乕儊儞傑傒傟偵偟偰傗傞偤偉偉偉偭両両乿=正田「我要动了……终于要狠狠地抽插学园小姐的小穴了……要把它弄得乱七八糟！让它沾满我的精液！！」
丂偦偺傑傑丄梕幫側偔棎朶偵崢傪摦偐偟巒傔偨丅=　就这样，毫不留情地开始粗暴地摆动腰部。
丂偖偭偪傘偖偭偪傘偖偭偪傘偖偭偪傘両=　咕啾咕啾咕啾咕啾！
埁乽偄傗偁偁偁偁偭両両丂傗偁偁偁偁偁両両丂傗傔丄傗傔偰偉偉偉偉偭両両両丂傂偖偭両丂偆偁偁偁偁偁偭両両乿=葵「呀啊啊啊啊！！呀啊啊啊啊！！不要，不要啊啊啊啊！！！呃呜！呜啊啊啊啊！！」
丂惓揷愭惗偑摦偔偨傃偵丄巋偡傛偆側寖捝偑憱傞丅=　每当正田老师动一下，都会有刺骨的剧痛传来。
丂傑傞偱抧崠乧乧両=　简直就像地狱……！
惓揷乽偁丣偭偁丣偭偁丣偭偁丣乕乕偭両両丂偍偁偭両丂偍偁偭両丂偍偁偭両丂偍偁偁偁偁偁偁偁乕偭両両乿=正田「啊啊啊啊啊——！！哦啊！哦啊！哦啊！哦啊啊啊啊啊啊——！！」
丂惓揷愭惗偺廱偺傛偆側欞欿偑暦偙偊傞丅=　听到正田老师发出野兽般的咆哮。
丂傁傫傁傫傁傫傁傫偽傆偽傆偽傆偽傆偭両=　啪啪啪啪啵啵啵啵！
丂敡偲敡偲偑傇偮偐傝崌偆壒偡傜丄傢偨偟偵偼捝傒偵姶偠傜傟傞丅=　就连肉体相撞的声音，都让感到疼痛。
埁乽乗乗乗乗偭両両両丂乗乗偭両丂乗乗乗偭偭偭両両両両乿=葵「——啊！！！ ——啊！ ———啊啊啊！！！！」
丂傕偼傗惡偵偡傜側傜側偄斶柭傪丄傢偨偟偼忋偘懕偗傞丅=　已经无法发出声音的惨叫，我仍在持续着。
丂敳偄偰乧乧崱偡偖敳偄偰偭両両=　拔出来……现在就拔出来！！
丂扤偐彆偗偰乧乧扤偐彆偗偰偭両両=　谁来救救我……谁来救救我！！
丂嶦偝傟傞乧乧嶦偝傟偪傖偆偭両両=　要死了……要被杀死了！！
丂偽偪傘偭偽偪傘偭偽偪傘偭偽偪傘偭偽偪傘偭両=　啪叽啪叽啪叽啪叽啪叽！
埁乽偆偖偭偆偖偭偆偖偭偆偖偭両丂偆偖偁偭両丂偆偖偁偁偁偁偁偭両両乿=葵「呃呃呃呃！ 呃啊！ 呃啊啊啊啊啊！！」
丂摢偺拞偺枭偑丄偁偭偲偄偆娫偵悂偒旘傫偩丅=　脑中的迷雾，瞬间被吹散了。
丂偟偐傕枭偑惏傟偨偙偲偱丄傢偨偟偺堄幆偼僋儕傾偵側偭偨丅=　而且随着迷雾散去，意识变得更加清晰。
丂偦偺偣偄偱丄傑偡傑偡捝傒偑寖楏偵揱傢偭偰偔傞丅=　因此，痛感传来得更加剧烈。
埁乽偁偔偭偁偔偭偁偖偭偁偖偭偁偖偭両両両乿=葵「啊啊啊啊啊啊啊啊啊！！！」
惓揷乽乧乧偍偭丠丂僈僢僴僢僴僢僴両丂側傫偩恄嶈偂両丂偍慜傑偩張彈偩偭偨偺偐偀両丠乿=正田「……哦？哈哈哈哈！什么啊神崎！你还是处女吗！？」
丂僈僋儞僈僋儞偲梙偝傇傜傟側偑傜丄敄栚傪奐偗偰傒傞丅=　在剧烈的晃动中，勉强睁开了眼睛。
丂寢崌晹偐傜寣偑乧乧棳傟偰偄偨乧乧丅=　从结合处……流出了血……
埁乽偄傗偁偁偁偁偁偁偁偁偁偁偁偁偁偁偭両両両乿=葵「呀啊啊啊啊啊啊啊啊啊啊啊啊！！！」
丂惓揷愭惗偑晄婥枴側徫傒傪晜偐傋傞偺偑丄帇奅偺嬿偵尒偊偨丅=　在视线的边缘，看到正田老师露出了不怀好意的笑容。
惓揷乽椙偐偭偨側偀壌偑嵟弶偺憡庤偱両丂愨懳偵朰傟傜傟側偄張彈憆幐偵側偭偨偩傠偆偑両丠丂僈傽乕僴僢僴僢僴僢僴僢僴乕乕乕僢両両乿=正田「真是太好了啊，我是你的第一个对象！这绝对是个难忘的破处经历吧！？咔哈哈哈哈哈哈——！！」
丂惓揷愭惗偼寢崌晹偐傜棳傟傞寣傪巜偱偡偔偄庢傝丄偦傟傪鋜傔偨丅偦偟偰戝惡偱徫偆丅=　正田老师用手指沾取从结合处流出的血，舔了舔。然后大声笑了起来。
丂偙傟偼柌乧乧埆柌乧乧丅=　这是梦……噩梦……
丂柌側傜乧乧妎傔偰乧乧偍婅偄乧乧丅=　如果是梦的话……快醒来……求求你……
丂妎傔傞傢偗偑側偄乧乧帺暘偱暘偐偭偰偄偨丅=　不可能醒来的……自己心里清楚。
丂塱墦偵妎傔傞偙偲偺側偄丄埆柌側傫偩偐傜乧乧丅=　因为这是永远不会醒来的噩梦……
丂惓揷愭惗偼旲傪柭傜偟丄僈僋僈僋偲崢傪彫崗傒偵怳傝巒傔傞丅=　正田老师发出鼻音，开始小幅度地抽动腰部。
丂廔傢偭偰乧乧偙偺抧崠傛丄憗偔廔傢偭偰乧乧丅=　结束吧……这地狱般的折磨，快点结束吧……
丂傢偨偟偼捝傒偵懴偊傞偨傔丄惓揷愭惗偺尐偵偟偑傒偮偄偨丅=　为了忍耐疼痛，紧紧抓住正田老师的肩膀。
埁乽偆偖偭偆偖偭偆偖偭偆偖偭両丂偆偆偖偭両両乿=葵「呜咕呜咕呜咕呜咕！呜呜咕！！」
丂惓揷愭惗偺摦偒偑丄偝傜偵彫崗傒偵丄偦偟偰憗偔側偭偰偄偔丅=　正田老师的动作变得更加细碎，速度也越来越快。
丂傢偨偟偼傕偆丄惓揷愭惗偺尐傪埇傝偟傔偰偄傞偙偲偟偐偱偒側偄丅=　已经除了紧紧抓住正田老师的肩膀什么都做不到了。
惓揷乽偍偭両丂偍偭両丂偍偭両丂偍偍偭両丂偍偍偍偭両丂僀僋偧偍偍偍両両丂弌偡偧偍偍偍恄嶈偂偂両両丂恄嶈偄偄偄偄偄偭両両乿=正田「哦！哦！哦！哦哦！哦哦哦！要去了啊啊啊！！要射了啊啊啊神崎！！神崎啊啊啊啊啊！！」
埁乽偼偁偼偁偼偁偼偁偭両両両丂偼偁偁偁偆両両乿=葵「哈啊哈啊哈啊哈啊！！！哈啊啊呜！！」
惓揷乽偆偖偍偍偍偭両丂偆偍偍偍偍偍偍偍偍偍偍偍偍偍偍偍偍偍偍偍偍偍偍偍偍偍偍偍偍偭両両両乿=正田「呜咕哦哦哦！呜哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦！！！」
丂偠傘傐傫偭両=　啾噗！
丂堷偒敳偐傟偨儁僯僗偐傜丄暚悈偺傛偆偵惛塼偑傎偲偽偟傞丅=　从抽出的阴茎中，精液如喷泉般喷射而出。
埁乽乗乗偒傖偭両乿=葵「啊！」
惓揷乽偼偁偭偼偁偭偼偁偭偼偁偭両丂偆偍偁偁偁乕偭両両両乿=正田「哈啊哈啊哈啊哈啊！呜哦啊啊啊！！！」
丂偳傃傘偭両丂傃傘傞偭両丂傃傘傞傞傞傞偆偭両両=　咻！咻！咻咻咻咻咻！！
埁乽傗偭両丂偄傗偁偁偁偁偁偁偁偁乧乧乧乿=葵「呀！不要啊啊啊啊啊啊啊………」
丂傕偺偡偛偄惃偄偱丄儁僯僗偺愭抂偐傜丄戝検偺惛塼偑旘傃弌偟偰偔傞丅=　阴茎顶端以惊人的势头喷射出大量精液。
丂傢偨偟偼偦傟傪傛偗傞婥椡傕側偔丄慡恎偵崀傝拲偖岝宨傪曫慠偲尒偮傔偰偄偨丅=　呆呆地望着精液洒落在全身的景象，连躲避的气力都没有。
丂偄傗丄尒偰偝偊傕偄側偐偭偨丅=　不，甚至连看都没有在看。
丂捝傒偐傜夝曻偝傟偨偲偼偄偊丄傢偨偟偼僔儑僢僋偺偁傑傝丄偙偙偑偳偙側偺偐偡傜暘偐傜側偔側偭偰偄偨丅=　虽然从痛苦中解脱出来，但因为过度震惊，甚至连自己身在何处都不知道了。
丂偳偝傝偲壒傪棫偰偰丄傢偨偟偺恎懱偑忯偺忋偵搳偘弌偝傟傞丅=　身体发出沉重的声响，被扔在了榻榻米上。
惓揷乽僆儔丄岥傪奐偗傠丅傑偩弌偡偧両乿=正田「喂，张开嘴。还要射！」
丂媥傓娫傕側偔惓揷愭惗偵婄傪忋岦偐偝傟丄傢偨偟偺岥偵惓揷愭惗偺儁僯僗偑墴偟偮偗傜傟偨丅=　还没来得及休息，就被正田老师抬起脸，他的阴茎压在了嘴上。
丂愭惗偼帺傜偟偛偄偰丄傢偨偟偺岥偺拞偵嵟屻偺堦揌傑偱惛塼傪曻弌偟偨丅=　老师自己撸动着，将最后一滴精液都射进了嘴里。
丂偖傄傘偭乧傃傘傞偭乧乧偖傄傘傞傞傞偭乧乧両=　咕噗…噗噜……咕噗噜噜噜……！
埁乽乧乧偼偀乧乧偼傇偭乧乧偆偆偆傇傇偭乧乧乧乿=葵「……哈……呃呜……呜呜呜呜呜………」
丂傕偼傗枴偝偊傕姶偠側偐偭偨丅=　已经连味道都感觉不到了。
丂偨偩丄椳偩偗偑傐傠傐傠偲棳傟懕偗偨丅=　只有眼泪还在不停地滴落。
丂帇奅偑撥偭偰偄偨丅=　视线变得模糊不清。
丂埆柌偼丄妎傔側偐偭偨乧乧丅=　噩梦，并没有醒来……
丂偦偺屻丄惓揷愭惗偼怮擖偭偰偟傑偭偨丅=　之后，正田老师睡着了。
丂偳傟偔傜偄偺帪娫丄偁偺偍偧傑偟偄晹壆偵偄偨偺偐暘偐傜側偄丅=　不知在那个令人作呕的房间里待了多长时间。
丂傛偆傗偔傢偨偟偼棫偪忋偑偭偰丄帺暘偺墭傟傪怈偒庢傝丄暈傪拝偰丄偦偺応傪偁偲偵偟偨丅=　终于站了起来，擦掉身上的污秽，穿上衣服，离开了那个地方。
丂懌嫋偑僼儔僼儔偟偨丅=　脚步虚浮不稳。
丂壓敿恎偺捝傒偼丄偄傑偩偵偟偙傝偺傛偆偵巆偭偰偄傞丅=　下半身的疼痛，至今仍如结块般残留。
丂乧晹妶乧乧晹妶偵丄栠傜側偒傖丅=　……社团活动……必须回去参加社团活动。
丂崱偺傢偨偟偵偲偭偰丄晹妶偵栠傞偙偲偩偗偑丄埆柌偐傜妎傔傞桞堦偺曽朄偺傛偆側婥偑偟偨乧乧丅=　对现在的我来说，回去参加社团活动似乎是从噩梦中醒来的唯一方法……
丂乧壗偩偐丄埁偼旀傟偰偄傞傛偆側條巕偩偭偨丅=　……不知为何，葵看起来很疲惫的样子。
丂壌偼惡傪偐偗傛偆偲偟偨偑丄偡偖偵巚偄偲偳傑偭偨丅=　我本想开口搭话，但很快就打消了这个念头。
丂壌傪抲偄偰堦恖偙偙傑偱棃偰偄偨偲偄偆偙偲偼丄壌偵尵偊側偄擸傒傪書偊偰偄傞偲偄偆偙偲偐傕偟傟側偄乧乧丅=　她把我抛在脑后独自来到这里，也许是因为有些无法对我诉说的烦恼……
丂側偺偵偙偙偱壌偑弌偰偄偭偨傜丄偒偭偲埁偼柪榝偑傞偩傠偆丅=　如果在这种时候我贸然出现，葵肯定会觉得困扰吧。
丂偨偲偊丄岥偵偼弌偝側偔偰傕丅=　即使她不会说出口。
丂傕偟偐偟偰埬奜丄擸傒側傫偰側偔偰丄偨偩扨偵壌偺偙偲傪偆偭偲偆偟偑偭偰傞丄偲偐乧乧丅=　说不定其实根本没什么烦恼，只是单纯地觉得我很烦人之类的……
丂偦傟偼偦傟偱僔儑僢僋乧乧丅=　那样的话也太令人震惊了……
丂乧乧偄傗傑偁丄偄偔傜側傫偱傕偦傟偼側偄偩傠偆丅=　……不过，怎么想也不可能是那样吧。
丂偨偩傗偭傁傝丄埁偼崱丄壌偲棧傟偰堦恖偵側傝偨偄偺偼娫堘偄側偄偲巚偆乧丅=　但是可以肯定的是，葵现在确实想要远离我独处一会儿……
丂廃埻傪尒夞偟偰傕丄摿偵夦偟偄恖塭偼側偄傛偆偩偟丄壌偼偙偺傑傑婣傞偙偲偵偟偨丅=　环顾四周，也没看到什么可疑的人影，于是决定就这样回去了。
丂堦墳丄壌側傝偺婥傪尛偭偨偮傕傝偩偭偨丅=　姑且算是以自己的方式体贴了一下吧。
丂傢偨偟偼側偤偐丄堦恖偱偙偙偵偄傞乧丅=　不知为何，一个人待在这里……
丂壗偲側偔僽儔儞僐偵嵗傝丄彫偝偔梙傜偟側偑傜丄傏傫傗傝偲梲偑捑傫偱偄偔偺傪挱傔偰偄傞丅=　随意地坐在秋千上，轻轻摇晃着，呆呆地望着夕阳慢慢沉落。
丂墿崹怓偺嬻偼丄傢偨偟傪庘偟偄婥暘偵偝偣傞丅柍惈偵丄媰偒弌偟偰偟傑偄偦偆側丄偦傫側愗側偄婥暘丅=　黄昏色的天空，让人感到寂寞。莫名地，有种想哭出来的冲动，就是这样一种令人心痛的感觉。
丂儂儞僩偼丄偄偮傕偺傛偆偵廐恖偲婣傞偮傕傝偩偭偨偺偵乧丅=　本来是想像往常一样和秋人一起回去的……
丂峏堖幒偱拝懼偊偰偄傞偲偒偐傜丄偪傚偭偲儃僅僢偲偟偰偨偐傕偟傟側偄丅=　可能从在更衣室换衣服的时候起，就有点恍惚了。
丂偦傟偼丄嵟嬤傢偨偟偺恎偵婲偙偭偨弌棃帠傪巚偄弌偟偨偣偄乧丅=　那是因为想起了最近发生在自己身上的事情……
丂婥偯偄偨偲偒偵偼傕偆丄偙偺岞墍慜傑偱傗偭偰棃偰偄偨丅=　回过神来的时候，已经来到这个公园前了。
丂廐恖偑屇傃巭傔偰偔傟側偐偭偨偺偑晄巚媍偩偗偳丄傕偟偐偟偨傜晹妶偑抶偔側偭偨偺偐丄偦傟偲傕傑偨僕儏乕僗偱傕攦偄偵峴偭偰偨偺偐傕丅=　秋人没有叫住我很奇怪，也许是社团活动结束得晚了，或者又去买饮料了吧。
丂偲偵偐偔丄妛墍傑偱栠傞婥偵側傟側偔偰乧乧廐恖偵偼埆偄偙偲偟偪傖偭偨丅=　总之，实在没心情回学园了……对不起秋人，做了坏事呢。
丂偁偲偱幱傜側偄偲乧丅=　之后得好好道歉才行……
丂傢偨偟偼怺偔偨傔懅傪偮偄偨丅=　我深深地叹了口气。
埁乽乧乧偳偆偟偰乧乧乿=葵「……为什么……」
丂庱傪怳傝側偑傜撈傝尵傪楻傜偟偨丅=　一边摇头一边自言自语。
丂婥帩偪偑丄偳傫偳傫捑傫偱偄偔丅=　心情越来越低落。
丂扤偐丄彆偗偰傎偟偄丅=　好想有人来救救我。
丂扤偐丄傢偨偟傪埆柌偐傜妎傑偟偰傎偟偄乧乧丅=　好想有人能把我从这噩梦中唤醒……
丂偲丄撍慠傐傫偲尐傪扏偐傟偨丅=　突然，肩膀被轻轻拍了一下。
丂巚傢偢旘傃忋偑偭偰偟傑偆丅=　不由得吓得跳了起来。
丂怳傝岦偔偲丄偦偙偵偼抦偭偨婄偑偁偭偨丅=　转身一看，那里是一张熟悉的面孔。
搤庽乽乧乧埁偪傖傫丠乿=冬树「……葵？」
埁乽搤庽乧乧偍孼偪傖傫乧乧乿=葵「冬树……哥哥……」
丂傢偨偟偼尵梩偵媗傑偭偨丅=　一时语塞。
丂搤庽偍孼偪傖傫偺怱攝偦偆側婄偲丄桪偟偄娽嵎偟偵丄嫻偑掲傔晅偗傜傟偨丅=　看到冬树哥哥担心的表情和温柔的眼神，心里感到一阵绞痛。
搤庽乽嬃偐偣偪傖偭偨偐側丠丂偛傔傫偹乿=冬树「吓到你了吗？对不起啊」
丂傢偨偟偼峇偰偰庱傪怳偭偨丅=　慌忙摇了摇头。
埁乽偁丄偆乧乧偆偆傫丄偦傫側偙偲側偄傛丅峫偊帠偟偰偨偺丅儃乕偭偲偟偰偰乧乧乿=葵「啊，呃……没有啦，没那回事。只是在想事情。有点走神了……」
丂搤庽偍孼偪傖傫偼丄壐傗偐側徫傒傪晜偐傋偰偔傟偨丅=　冬树哥哥露出了温和的微笑。
搤庽乽乧乧尦婥丄側偄傒偨偄偩偗偳丠乿=冬树「……看起来精神不太好啊？」
丂傢偨偟偼偆側偩傟偨丅=　低下了头。
